Incident_Id,Location,Cluster
147593,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147594,Jail/Prison/Penitentiary/Corrections Facility,Goverment Buildings
147595,Liquor Store,Store and Commercial Buildings
147596,Residence/Home,Residential or Community Center
147597,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147598,School/College,Educational Buildings
147599,School/College,Educational Buildings
143577,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143578,Department/Discount Store,Store and Commercial Buildings
143579,Residence/Home,Residential or Community Center
143580,Service/Gas Station,"Highway, Road or Other Open Space"
143581,Service/Gas Station,"Highway, Road or Other Open Space"
143582,Residence/Home,Residential or Community Center
143583,Residence/Home,Residential or Community Center
143584,Residence/Home,Residential or Community Center
143585,Residence/Home,Residential or Community Center
143586,Residence/Home,Residential or Community Center
143587,Residence/Home,Residential or Community Center
143588,Air/Bus/Train Terminal,Transportation Terminals
143589,Department/Discount Store,Store and Commercial Buildings
143590,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143591,Residence/Home,Residential or Community Center
143592,Residence/Home,Residential or Community Center
143593,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143594,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143595,Commercial/Office Building,Store and Commercial Buildings
147695,Restaurant,Store and Commercial Buildings
147696,Restaurant,Store and Commercial Buildings
143737,Residence/Home,Residential or Community Center
147697,Other/Unknown,Other/Unknown
143738,Residence/Home,Residential or Community Center
147698,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143739,Residence/Home,Residential or Community Center
143740,School/College,Educational Buildings
143741,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143742,Residence/Home,Residential or Community Center
147699,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147700,Department/Discount Store,Store and Commercial Buildings
147701,Residence/Home,Residential or Community Center
147702,Residence/Home,Residential or Community Center
147703,Department/Discount Store,Store and Commercial Buildings
143743,Department/Discount Store,Store and Commercial Buildings
147704,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147705,Bar/Nightclub,Store and Commercial Buildings
143744,Residence/Home,Residential or Community Center
147706,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147707,School/College,Educational Buildings
143745,Air/Bus/Train Terminal,Transportation Terminals
435691,Liquor Store,Store and Commercial Buildings
147708,Bar/Nightclub,Store and Commercial Buildings
143746,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147779,Residence/Home,Residential or Community Center
143747,Residence/Home,Residential or Community Center
143748,Jail/Prison/Penitentiary/Corrections Facility,Goverment Buildings
147780,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147781,Residence/Home,Residential or Community Center
143749,Residence/Home,Residential or Community Center
143750,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143751,Residence/Home,Residential or Community Center
143752,Residence/Home,Residential or Community Center
143753,Residence/Home,Residential or Community Center
143754,Residence/Home,Residential or Community Center
143755,School/College,Educational Buildings
143756,Residence/Home,Residential or Community Center
147782,Residence/Home,Residential or Community Center
143757,Residence/Home,Residential or Community Center
143758,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147783,Residence/Home,Residential or Community Center
147784,Other/Unknown,Other/Unknown
147785,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143759,Residence/Home,Residential or Community Center
143760,Department/Discount Store,Store and Commercial Buildings
147786,Residence/Home,Residential or Community Center
147787,Other/Unknown,Other/Unknown
143761,Other/Unknown,Other/Unknown
147788,Residence/Home,Residential or Community Center
143762,Residence/Home,Residential or Community Center
147789,Drug Store/Doctor's Office/Hospital,Store and Commercial Buildings
147790,Department/Discount Store,Store and Commercial Buildings
147791,Commercial/Office Building,Store and Commercial Buildings
143763,Residence/Home,Residential or Community Center
147792,Residence/Home,Residential or Community Center
143764,Residence/Home,Residential or Community Center
143765,Residence/Home,Residential or Community Center
147793,Convenience Store,Store and Commercial Buildings
147794,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147795,Residence/Home,Residential or Community Center
143766,Convenience Store,Store and Commercial Buildings
147796,Other/Unknown,Other/Unknown
143767,Residence/Home,Residential or Community Center
143596,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143597,Bar/Nightclub,Store and Commercial Buildings
143616,Residence/Home,Residential or Community Center
143617,Other/Unknown,Other/Unknown
143618,Residence/Home,Residential or Community Center
143619,Residence/Home,Residential or Community Center
143620,Residence/Home,Residential or Community Center
143621,Residence/Home,Residential or Community Center
143622,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143623,Government/Public Building,Goverment Buildings
143598,Field/Woods,Public Places and Recreation Sites
143599,Residence/Home,Residential or Community Center
143600,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143601,Residence/Home,Residential or Community Center
143602,Residence/Home,Residential or Community Center
143603,Residence/Home,Residential or Community Center
143604,School/College,Educational Buildings
143605,Residence/Home,Residential or Community Center
143624,Residence/Home,Residential or Community Center
143625,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143626,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143627,School/College,Educational Buildings
143628,Residence/Home,Residential or Community Center
143629,Residence/Home,Residential or Community Center
143606,Residence/Home,Residential or Community Center
143607,School/College,Educational Buildings
143608,Residence/Home,Residential or Community Center
143609,Residence/Home,Residential or Community Center
143630,Air/Bus/Train Terminal,Transportation Terminals
143631,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143632,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143610,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143611,School/College,Educational Buildings
143612,Specialty Store,Store and Commercial Buildings
143613,Residence/Home,Residential or Community Center
143614,Bar/Nightclub,Store and Commercial Buildings
143615,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143633,Residence/Home,Residential or Community Center
143634,Bar/Nightclub,Store and Commercial Buildings
143635,Specialty Store,Store and Commercial Buildings
143636,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143637,Commercial/Office Building,Store and Commercial Buildings
143638,School/College,Educational Buildings
143639,Residence/Home,Residential or Community Center
143640,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143641,School/College,Educational Buildings
143642,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143643,Convenience Store,Store and Commercial Buildings
143644,Residence/Home,Residential or Community Center
143645,Residence/Home,Residential or Community Center
143646,Residence/Home,Residential or Community Center
143647,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143648,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143649,Residence/Home,Residential or Community Center
143650,Residence/Home,Residential or Community Center
143651,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143652,Residence/Home,Residential or Community Center
143653,Residence/Home,Residential or Community Center
143654,Residence/Home,Residential or Community Center
143655,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143656,Residence/Home,Residential or Community Center
143657,Residence/Home,Residential or Community Center
143658,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143659,Residence/Home,Residential or Community Center
143660,Government/Public Building,Goverment Buildings
143661,Residence/Home,Residential or Community Center
143662,Residence/Home,Residential or Community Center
143663,Residence/Home,Residential or Community Center
143664,Residence/Home,Residential or Community Center
143665,Residence/Home,Residential or Community Center
143666,Other/Unknown,Other/Unknown
143667,Other/Unknown,Other/Unknown
143668,Residence/Home,Residential or Community Center
143669,Residence/Home,Residential or Community Center
143670,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143671,Residence/Home,Residential or Community Center
143672,Residence/Home,Residential or Community Center
143673,Residence/Home,Residential or Community Center
143674,Residence/Home,Residential or Community Center
143675,Other/Unknown,Other/Unknown
143676,Residence/Home,Residential or Community Center
143677,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143678,Residence/Home,Residential or Community Center
143679,Rental Storage Facility,Store and Commercial Buildings
143680,Commercial/Office Building,Store and Commercial Buildings
143681,Residence/Home,Residential or Community Center
143682,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143683,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143684,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143685,Government/Public Building,Goverment Buildings
143686,Residence/Home,Residential or Community Center
143687,Residence/Home,Residential or Community Center
143688,Residence/Home,Residential or Community Center
143689,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143690,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143691,Residence/Home,Residential or Community Center
143692,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143693,School/College,Educational Buildings
147600,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147601,Residence/Home,Residential or Community Center
147602,Residence/Home,Residential or Community Center
147603,Residence/Home,Residential or Community Center
147604,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147605,Residence/Home,Residential or Community Center
147606,Residence/Home,Residential or Community Center
147607,Convenience Store,Store and Commercial Buildings
147608,Residence/Home,Residential or Community Center
147609,Lake/Waterway/Beach,Public Places and Recreation Sites
147610,Residence/Home,Residential or Community Center
147611,Residence/Home,Residential or Community Center
147612,Residence/Home,Residential or Community Center
147613,Residence/Home,Residential or Community Center
147614,Residence/Home,Residential or Community Center
147615,Bar/Nightclub,Store and Commercial Buildings
147616,Residence/Home,Residential or Community Center
147617,Other/Unknown,Other/Unknown
147618,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147619,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147620,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147621,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147622,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147623,Residence/Home,Residential or Community Center
147624,Residence/Home,Residential or Community Center
147625,Residence/Home,Residential or Community Center
147626,Residence/Home,Residential or Community Center
147627,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147628,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147629,Residence/Home,Residential or Community Center
147630,Residence/Home,Residential or Community Center
147631,Other/Unknown,Other/Unknown
147632,Other/Unknown,Other/Unknown
147633,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147634,Residence/Home,Residential or Community Center
147635,Residence/Home,Residential or Community Center
147636,Residence/Home,Residential or Community Center
147637,Other/Unknown,Other/Unknown
147638,Restaurant,Store and Commercial Buildings
147639,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147640,Convenience Store,Store and Commercial Buildings
147641,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147642,Residence/Home,Residential or Community Center
147643,Residence/Home,Residential or Community Center
147644,Residence/Home,Residential or Community Center
147645,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147646,Residence/Home,Residential or Community Center
147647,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147648,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147649,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147650,Convenience Store,Store and Commercial Buildings
147651,School/College,Educational Buildings
147652,School/College,Educational Buildings
147653,Convenience Store,Store and Commercial Buildings
147654,Air/Bus/Train Terminal,Transportation Terminals
147655,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147656,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147657,Residence/Home,Residential or Community Center
147658,Restaurant,Store and Commercial Buildings
147659,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147660,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147661,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147662,Residence/Home,Residential or Community Center
147663,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147664,School/College,Educational Buildings
147665,Residence/Home,Residential or Community Center
147666,Residence/Home,Residential or Community Center
147667,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147668,Residence/Home,Residential or Community Center
147669,Residence/Home,Residential or Community Center
143694,Other/Unknown,Other/Unknown
143695,Residence/Home,Residential or Community Center
143696,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143697,Residence/Home,Residential or Community Center
143698,Drug Store/Doctor's Office/Hospital,Store and Commercial Buildings
143699,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143700,Residence/Home,Residential or Community Center
147670,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147671,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147672,Residence/Home,Residential or Community Center
147673,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147674,Drug Store/Doctor's Office/Hospital,Store and Commercial Buildings
147675,Residence/Home,Residential or Community Center
147676,Commercial/Office Building,Store and Commercial Buildings
147677,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147678,Residence/Home,Residential or Community Center
143701,Residence/Home,Residential or Community Center
147679,Department/Discount Store,Store and Commercial Buildings
147680,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147681,Residence/Home,Residential or Community Center
143702,Commercial/Office Building,Store and Commercial Buildings
147682,Convenience Store,Store and Commercial Buildings
143703,Hotel/Motel/Etc.,Store and Commercial Buildings
143704,School/College,Educational Buildings
143705,Restaurant,Store and Commercial Buildings
143706,Residence/Home,Residential or Community Center
143707,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143708,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143709,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143710,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143711,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143712,Other/Unknown,Other/Unknown
143713,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143714,Residence/Home,Residential or Community Center
143715,School/College,Educational Buildings
143716,Residence/Home,Residential or Community Center
143717,Air/Bus/Train Terminal,Transportation Terminals
143718,Air/Bus/Train Terminal,Transportation Terminals
143719,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143720,Other/Unknown,Other/Unknown
143721,Residence/Home,Residential or Community Center
143722,Bar/Nightclub,Store and Commercial Buildings
143723,Hotel/Motel/Etc.,Store and Commercial Buildings
143724,Residence/Home,Residential or Community Center
143725,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143726,Bar/Nightclub,Store and Commercial Buildings
143727,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143728,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147683,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147684,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143729,School/College,Educational Buildings
143730,School/College,Educational Buildings
147685,School/College,Educational Buildings
147686,School/College,Educational Buildings
147687,School/College,Educational Buildings
143731,Air/Bus/Train Terminal,Transportation Terminals
147688,Residence/Home,Residential or Community Center
147689,Residence/Home,Residential or Community Center
143732,Convenience Store,Store and Commercial Buildings
143733,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143734,Government/Public Building,Goverment Buildings
147690,Residence/Home,Residential or Community Center
147691,Residence/Home,Residential or Community Center
147692,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147693,Residence/Home,Residential or Community Center
143735,Restaurant,Store and Commercial Buildings
143736,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147694,Bar/Nightclub,Store and Commercial Buildings
147797,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147798,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143768,School/College,Educational Buildings
143769,School/College,Educational Buildings
147799,School/College,Educational Buildings
147800,Other/Unknown,Other/Unknown
143770,Residence/Home,Residential or Community Center
147801,Other/Unknown,Other/Unknown
143771,Residence/Home,Residential or Community Center
147802,Other/Unknown,Other/Unknown
143772,Residence/Home,Residential or Community Center
143773,Residence/Home,Residential or Community Center
143774,Residence/Home,Residential or Community Center
143775,Residence/Home,Residential or Community Center
143776,Residence/Home,Residential or Community Center
143777,Residence/Home,Residential or Community Center
147803,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147804,Residence/Home,Residential or Community Center
147805,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147806,Residence/Home,Residential or Community Center
147807,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147808,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147809,Residence/Home,Residential or Community Center
147810,Residence/Home,Residential or Community Center
147811,Residence/Home,Residential or Community Center
143778,Government/Public Building,Goverment Buildings
147812,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147813,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143779,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143780,Convenience Store,Store and Commercial Buildings
143781,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143782,Residence/Home,Residential or Community Center
143783,Residence/Home,Residential or Community Center
143784,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147814,Specialty Store,Store and Commercial Buildings
147815,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147816,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147817,Residence/Home,Residential or Community Center
147818,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147819,Residence/Home,Residential or Community Center
147820,Residence/Home,Residential or Community Center
147821,Commercial/Office Building,Store and Commercial Buildings
147822,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143785,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143786,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143787,Field/Woods,Public Places and Recreation Sites
143788,Drug Store/Doctor's Office/Hospital,Store and Commercial Buildings
143789,Residence/Home,Residential or Community Center
147823,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147824,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147825,Residence/Home,Residential or Community Center
147826,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147827,Residence/Home,Residential or Community Center
147828,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143790,Department/Discount Store,Store and Commercial Buildings
147829,Air/Bus/Train Terminal,Transportation Terminals
147830,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143791,School/College,Educational Buildings
143792,School/College,Educational Buildings
143793,School/College,Educational Buildings
143794,School/College,Educational Buildings
143795,School/College,Educational Buildings
143796,School/College,Educational Buildings
143797,School/College,Educational Buildings
143798,School/College,Educational Buildings
143799,School/College,Educational Buildings
143800,School/College,Educational Buildings
143801,School/College,Educational Buildings
143802,School/College,Educational Buildings
143803,School/College,Educational Buildings
147831,School/College,Educational Buildings
147832,School/College,Educational Buildings
143804,Lake/Waterway/Beach,Public Places and Recreation Sites
143805,Residence/Home,Residential or Community Center
143806,School/College,Educational Buildings
143807,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143808,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143809,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143810,Bar/Nightclub,Store and Commercial Buildings
143811,School-College/University,Educational Buildings
143812,Residence/Home,Residential or Community Center
147833,Department/Discount Store,Store and Commercial Buildings
143813,Grocery/Supermarket,Store and Commercial Buildings
147834,School/College,Educational Buildings
143814,Residence/Home,Residential or Community Center
147835,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143815,Other/Unknown,Other/Unknown
143816,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147836,School/College,Educational Buildings
147837,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147838,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143817,Residence/Home,Residential or Community Center
147839,Residence/Home,Residential or Community Center
143818,Department/Discount Store,Store and Commercial Buildings
143819,Residence/Home,Residential or Community Center
147840,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147841,Residence/Home,Residential or Community Center
147842,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143820,Grocery/Supermarket,Store and Commercial Buildings
147843,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143821,Residence/Home,Residential or Community Center
147844,Other/Unknown,Other/Unknown
147845,Residence/Home,Residential or Community Center
143822,School/College,Educational Buildings
143823,School/College,Educational Buildings
147846,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147847,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147848,School/College,Educational Buildings
143824,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147849,Commercial/Office Building,Store and Commercial Buildings
147850,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143825,Residence/Home,Residential or Community Center
147851,Field/Woods,Public Places and Recreation Sites
143826,Residence/Home,Residential or Community Center
147852,Residence/Home,Residential or Community Center
147853,Residence/Home,Residential or Community Center
143827,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143828,Residence/Home,Residential or Community Center
147854,Residence/Home,Residential or Community Center
147855,Residence/Home,Residential or Community Center
143829,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143830,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143831,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147856,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147857,Residence/Home,Residential or Community Center
147858,Residence/Home,Residential or Community Center
143832,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143833,Air/Bus/Train Terminal,Transportation Terminals
147859,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147860,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147861,Service/Gas Station,"Highway, Road or Other Open Space"
147862,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143834,Field/Woods,Public Places and Recreation Sites
147863,School/College,Educational Buildings
143835,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147864,Residence/Home,Residential or Community Center
147865,Residence/Home,Residential or Community Center
143836,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143837,Bar/Nightclub,Store and Commercial Buildings
143838,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143839,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143840,Specialty Store,Store and Commercial Buildings
143841,Government/Public Building,Goverment Buildings
143842,Field/Woods,Public Places and Recreation Sites
143843,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143844,Residence/Home,Residential or Community Center
143845,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147866,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147867,Residence/Home,Residential or Community Center
143846,Residence/Home,Residential or Community Center
147868,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143847,Residence/Home,Residential or Community Center
147869,School/College,Educational Buildings
143848,Residence/Home,Residential or Community Center
143849,Residence/Home,Residential or Community Center
147870,Residence/Home,Residential or Community Center
147871,Convenience Store,Store and Commercial Buildings
143850,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147872,Residence/Home,Residential or Community Center
143851,Residence/Home,Residential or Community Center
143852,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143853,School/College,Educational Buildings
143854,School/College,Educational Buildings
143855,Residence/Home,Residential or Community Center
143856,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
143857,Residence/Home,Residential or Community Center
143858,Residence/Home,Residential or Community Center
143859,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143860,Field/Woods,Public Places and Recreation Sites
143861,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143862,Residence/Home,Residential or Community Center
143863,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143864,School/College,Educational Buildings
143865,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143866,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143867,Field/Woods,Public Places and Recreation Sites
147709,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147710,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147711,Bar/Nightclub,Store and Commercial Buildings
147712,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147713,Residence/Home,Residential or Community Center
147714,Jail/Prison/Penitentiary/Corrections Facility,Goverment Buildings
147715,Jail/Prison/Penitentiary/Corrections Facility,Goverment Buildings
147716,School/College,Educational Buildings
147717,School/College,Educational Buildings
147718,Residence/Home,Residential or Community Center
147873,Residence/Home,Residential or Community Center
147874,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147875,Residence/Home,Residential or Community Center
147876,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147877,School/College,Educational Buildings
147878,Jail/Prison/Penitentiary/Corrections Facility,Goverment Buildings
147879,Residence/Home,Residential or Community Center
147880,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147881,Commercial/Office Building,Store and Commercial Buildings
147882,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147883,Jail/Prison/Penitentiary/Corrections Facility,Goverment Buildings
147884,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147885,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
147886,Church/Synagogue/Temple/Mosque,Public Places and Recreation Sites
143868,Parking/Drop Lot/Garage,"Highway, Road or Other Open Space"
147719,Residence/Home,Residential or Community Center
147720,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147721,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143869,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143877,Residence/Home,Residential or Community Center
147732,Residence/Home,Residential or Community Center
147733,School/College,Educational Buildings
143878,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143879,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147734,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
147735,Other/Unknown,Other/Unknown
147736,Residence/Home,Residential or Community Center
143880,Residence/Home,Residential or Community Center
143881,Restaurant,Store and Commercial Buildings
143882,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143883,Residence/Home,Residential or Community Center
143884,Residence/Home,Residential or Community Center
143885,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143886,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
143887,Drug Store/Doctor's Office/Hospital,Store and Commercial Buildings
143870,Residence/Home,Residential or Community Center
147722,School/College,Educational Buildings
143871,Highway/Road/Alley/Street/Sidewalk,"Highway, Road or Other Open Space"
